Name_of_Business,Webpage,Business_Website,Description_Short,Description_Long,Description_Complete,Category,Language_Spoken,Business_Address,Business_City,Email,Phone,Facebook_Page,Instagram_Page,Source
WJZP 107.9 FM,https://www.blackownedmaine.com/bom-listing/107-9-wjzp/,https://www.wjzp.me,"Discover WJZP Nonprofit education and cultural organization in Portland, Maine. Uplifting black community through jazz, blues, swing, & soul.","Nonprofit education and cultural organization chartered in the state of Maine. Licensed with the Federal Communications (FCC) and authorized by the IRS as a 501(c)3 charitable organization. They aim to uplift their community by supporting economic and artistic growth. With music as one of their mediums, this radio station has a focus on jazz blues swing, and soul. Not only do they play various jazz hits but they also have a blog and segments that work to educate their audience on everything from budgets for marketing to why cremation is more environmentally conscious than a burial.",Nonprofit education and cultural organization chartered in the state of Maine.WJZP 107.9FM is a non profit commercial free radio,"Media & Podcasts, Nonprofits",English,"570 Brighton Ave Portland, Maine","Portland, Maine",jbaptiste@wjzp.me,13107700942,https://www.facebook.com/107.9WJZP,https://instagram.com/wjzp_maine,Black Owned Maine
207 Laser (Portland),https://www.blackownedmaine.com/bom-listing/207-laser-portland/,https://207laser.com,"Book a session with our Black-owned Portland, Maine esthetician. Enjoy relaxing facials, makeup services, waxing, & eyelash extension & more.","Maine Laser Clinic is an innovative aesthetics center offering a portfolio of skin rejuvenation services. With the combination of the most current technology, skilled laser providers (Nurse Practitioners, Nurses, Master Esthetician, Medical Esthetician, & Laser Safety Officer) and experienced master estheticians, we create the best-customized treatment program to help you achieve your body image goals. Our quiet and beautiful facility, adjacent to Home Remedies in Portland, Maine, hosts cutting-edge, non-invasive cosmetic laser treatments for men and women. Laser treatments include hair removal, nail fungus removal, removal of sun spot damage, vein therapy, and tattoo removal. Other services include our relaxing signature facials, makeup application/lessons for bridal parties etc., waxing, and eyelash extensions. Our natural skin care products possess a collection of active botanical extracts to ensure enhanced product performance, bringing you clinically proven, advanced skincare benefits, while also avoiding harmful synthetic compounds, to ensure maximum skin compatibility and environmentally- conscious products.","Laser treatments include hair removal, nail fungus removal, removal of sun spot damage, vein therapy, and tattoo removal. Other services include our relaxing signature facials, makeup application/less",Beauty and Barber Shops,English,"65 West Commercial Street Ste 207 Portland, Maine","Portland, Maine",hello@207laser.com,2072006530,https://www.facebook.com/207laser.mainelaserclinic,https://instagram.com/207laser.med,Black Owned Maine
207 Laser (Wells),https://www.blackownedmaine.com/bom-listing/207-laser-wells/,http://207laser.com,"Book a session with our Black-owned Wells, Maine esthetician. Enjoy relaxing facials, makeup services, waxing, and eyelash extensions & more.","Discover personalized aesthetics at 207 Laser, formerly Maine Laser Clinic, in Wells. Expert laser treatments, facials, waxing, and more. Experience innovation, natural skincare, and customized solutions for your body image goals.","Discover personalized aesthetics at 207 Laser, formerly Maine Laser Clinic, in Wells. Expert laser treatments, facials, waxing, and more. Experience innovation, natural skincare, and customized solutions for your body image goals.",Beauty and Barber Shops,English,"676 Post Road Suite 5 Wells , Maine","Wells , Maine",hello@207laser.com,2078079376,https://www.facebook.com/207laser.mainelaserclinic,https://instagram.com/207laser.med,Black Owned Maine
24 Hour Flower,https://www.blackownedmaine.com/bom-listing/24-hour-flower/,https://24hourflowerme.com/,Discover relief at our premium medical marijuana dispensary . We offer selection of high-quality cannabis products tailored to your needs.,"24 Hour Flower is a medical marijuana dispensary and delivery service, located in Southern Maine, that is open 24 hours a day, 365 days a year; the name says it all! They are fully licensed by the State of Maine and work hard to ensure that folks receive both the highest quality of products and service at all times. Their kind, knowledgeable, and attentive staff is here to help you find the right cannabis for your particular needs. Their selection of cannabis products includes flower, extracts, edibles, accessories and more. They also offer online medical consultations, through their site, if you need to verify your eligibility for their services. 24-Hour Flower does not ship but currently makes deliveries to clients in the following locations: Biddeford, Saco, Old Orchard Beach, Portland, South Portland and Westbrook. Please note: a copy of your state ID and medical certification are required to place orders. For more information give them a call or text or visit the website today.","24 Hour Flower is a medical marijuana dispensary and delivery service, located in Southern Maine, that is open 24 hours a day, 365 days a year.",Cannabis Dispensaries & Caregivers,English,"Biddeford, Maine","Biddeford, Maine",24HOURFLOWER@JWBUSINESSSOLUTIONS.ORG,2072005597,,https://www.instagram.com/24hourfloweredu3.0/,Black Owned Maine
32 French,https://www.blackownedmaine.com/bom-listing/32-french/,NA,"Elevate your event with our Black-owned DJ, musician, and beatmaker in Portland, Maine. Experience soul-moving beats. Contact us today.",32 French is a DJ/musician/Beatmaker based in the Portland area.,32 French is a DJ/musician/Beatmaker based in the Portland area.,Art & Music,English,"Portland, Maine","Portland, Maine",32french@gmail.com,2077800533,https://www.facebook.com/32french,https://instagram.com/iam32french,Black Owned Maine
A Dandy Line,https://www.blackownedmaine.com/bom-listing/a-dandy-line/,https://www.adandylinewithavril.com/about,"Meet a Black holistic arts educator, yoga instructor, speaker, and artisan in Portland, Maine. Contact for transformative experiences.","Avril Williams is a holistic arts educator, yoga instructor, public speaker, and artisan based in Portland, Maine. As the owner of A Dandy Line, Avril Williams offers creative holistic art workshops, yoga instruction, social justice education, trainings and other events for all ages. The yoga studio curates spaces that allow for a good stretch and nourishment to the mind, body, and soul. She offers a variety of services for parties, showers, retreats, corporate events and more. To access her various other services, to contact her and or get more information please visit any of her online pages.","Avril Williams is a holistic arts educator, yoga instructor, public speaker, and artisan based in Portland, Maine.","Holistic Wellness, Weddings & Events",English,"Portland, Maine","Portland, Maine",adandyline@gmail.com,NA,,https://www.instagram.com/adandylinewithavril/,Black Owned Maine
ABC Driving School (Lewiston),https://www.blackownedmaine.com/bom-listing/abc-driving-school-lewiston/,https://iftin-driving-school.business.site/,"Diverse driving school in Lewiston, Maine. Learn Arabic, Somali & English. Tailored road safety for all ages. Black-owned. Learn with us.","ABC Driving School offers classes in Arabic, Somali & English for all ages.  they also help to prepare you with life time road safety,  preparing for on the road driving lessons and pre exam preparation.","ABC Driving School offers classes in Arabic, Somali & English for all ages. prepartion for road driving lessons.",Auto Services & Repairs,"Arabic, Somali, English","229 Lisbon St Lewiston, Maine","Lewiston, Maine",abcdriving207@gmail.com,2078809229,https://www.facebook.com/IftinDrivingSchool/,https://www.instagram.com/abcdrivingschool207,Black Owned Maine
ABC Driving School Portland,https://www.blackownedmaine.com/bom-listing/abc-driving-school/,https://iftin-driving-school.business.site/,"Diverse driving school in Portland, Maine. Learn Arabic, Somali & English. Tailored road safety for all ages. Black-owned. Learn with us.","ABC Driving School offers classes in Arabic, Somali & English for all ages.  they also help to prepare you with life time road safety,  preparing for on the road driving lessons and pre exam preparation.","ABC Driving School offers classes in Arabic, Somali & English for all ages.",Auto Services & Repairs,"Arabic, Somali, English","49 Dartmouth Street Portland, Maine","Portland, Maine",abcdriving207@gmail.com,2075008888,https://www.facebook.com/IftinDrivingSchool/,https://www.instagram.com/abcdrivingschool207,Black Owned Maine
Abyssinian Meeting House,https://www.blackownedmaine.com/bom-listing/abyssinian-meeting-house/,http://www.abyme.org/,"Join a Black community-led mission in Portland, Maine to restore the meeting house and rebuild its connection to African Americans in Maine.","The Abyssinian Meeting House has a rich history and strong connection to the African community in Maine. Founded in 1828, it is the oldest meeting house in Maine and the third oldest African American Meeting House in the United States. The mission of the Committee is to restore the Abyssinian meeting house and its history to rebuild the connection it has to African Americans in Maine. To support the Abyssinian meeting house visit their website. Donate and help the Abyssinian meeting house become a part of the community again.","The Abyssinian Meeting House has a rich history and strong connection to the African community in Maine. Founded in 1828, it is the oldest meeting house in Maine and the third oldest African American Meeting…","Cultural Organizations, Historical Sites, Nonprofits",English,"75 Newbury Street Portland, Maine","Portland, Maine",info@abyme.org,12072325300,https://www.facebook.com/Abyssinian-Meeting-House-250097991687114%2F,https://instagram.com/abyssinian_meeting_house,Black Owned Maine
Acadia Wilderness Lodge,https://www.blackownedmaine.com/bom-listing/acadia-wilderness-lodge/,http://www.acadiawildernesslodge.com,"Discover luxury camping at Acadia Wilderness Lodge & Yurt Village, the only Black-owned glamping grounds in West Tremont, Maine.","Acadia Wilderness Lodge is an outdoor resort that features glamorous camping lodging accommodations.  The Acadia Wilderness Yurt Village, opening May 12, 2022 is a collection of upscale, comfortable yurts that allow you to go back to simpler times while enjoying the outdoors.  Our village theme celebrates indigenous cultures around the world and allow you to camp like you’ve never camped before.  With King sized beds and hydrotherapy  showers you’re sure to wake  refreshed when camping with us.  Other features and amenities that are located in our yurt village include a soaking tub, Village games, a village community fire pit, village gardens and village animals that are fun for the kids. Wake up and collect fresh eggs for breakfast or stroll through the mini apple orchard; no matter what you chose to do,  there’s always a way to enjoy the outdoors during your stay.",Acadia Wilderness Lodge is an outdoor resort that features glamorous camping lodging accommodations.,"Outdoors, Travel & Lodging","English, Spanish","38 Kelleytown Rd West Tremont, Maine","West Tremont, Maine",info@acadiawildernesslodge.com,2072668792,https://www.facebook.com/acadiawildernesslodge,https://www.instagram.com/acadialodge,Black Owned Maine
ACTION FOR LIFE,https://www.blackownedmaine.com/bom-listing/action-for-life/,https://www.actionforlifeint.org/,"Join Action a Black-led non-profit in Portland, Maine that empower immigrants through education for self-reliance to overcome challenges.","Action For Life (AFL) is an Ethnic- based Organisation and, as a such, places cultural competency first on our agenda. We advocate to raise up the the standard living and the peaceful nature of the people who have chosen Maine to be their home state. AFL provides direct services to asylum seekers and refugees in Maine as well as transportation, housing and connect them to legal support resources for their asylum case. AFL assist asylum seekers in obtaining basics needs and other immediate necessities.","Action For Life is a non profit organization educating immigrants to empower themselves, to become self-reliant, and overcome all the many challenges that they face when they move to Maine.","Cultural Organizations, Nonprofits","English, French, Kikongo, Lingala","175 Lancaster street 216B Portland , Maine","Portland, Maine",info@actionforlifeint.org,2075501838,https://www.facebook.com/p/Action-for-Life-100079901632533/,,Black Owned Maine
Adam Healthcare LLC,https://www.blackownedmaine.com/bom-listing/adam-healthcare-llc/,NA,"Contact Black-owned home health care agency in Lewiston, Maine. For a wide range of health care services at your home for illness or injury.","Adam Healthcare LLC is a Home health care agency that is located at 277 Lisbon Street Ste 9,  Lewiston, Maine.","Adam Healthcare LLC is a Home health care agency that is located at 277 Lisbon Street Ste 9,  Lewiston, Maine. They offer a wide range of health care services that can be given in your home…",Healthcare & Dentistry,English,"277 Lisbon Street Ste 9 Lewiston , Maine","Lewiston , Maine",adamhs2016@gmail.com,2077530774,,,Black Owned Maine
African Caribbean market,https://www.blackownedmaine.com/bom-listing/african-carribean-market/,NA,"Visit and order from our Black-owned Westbrook, Maine grocery store, we would ensure affordable, authentic island & African foods await you.",African and Caribbean market is a grocery located at Westbrook Maine.,African and Caribbean market is a grocery located at Westbrook Maine. They sell all variety of authentic food from the islands and Africa at affordable prices.,Grocery & Convenience Stores,English,"529 Main Street Westbrook , Maine","Westbrook , Maine",acmarket9999@gmail.com,2075915033,https://www.facebook.com/mavisfoodmart/?_rdc=2&_rdr,,Black Owned Maine
African Supermarket,https://www.blackownedmaine.com/bom-listing/african-supermarket-2/,NA,NA,"African supermarket offers goods native to African cultures at an affordable price. They sell a wide variety of products including lotions, fabrics, food, clothing items, hair accessories, and more. For more information check out their Facebook. we’re open from 9 am to 9 pm every day.","African supermarket offers goods native to African cultures at an affordable price. They sell a wide variety of products including lotions, fabrics, food, clothing items, hair accessories, and more. For more information check out their…",Grocery & Convenience Stores,English,"206 Brown St, Westbrook, Maine","Westbrook, Maine",NA,2075216674,http://www.facebook.com/AfricanSuperMarket,,Black Owned Maine
African Supermarket,https://www.blackownedmaine.com/bom-listing/african-supermarket/,NA,"Visit and order at our Black-owned Portland, Maine Africa grocery store, we sell affordable goods from Diaspora, including food, oil, fabric .","The African Super Market offers affordable goods traditionally used by peoples of the Diaspora. They sell a wide variety of products and are open daily. Their merchandise include food, oils, lotions, fabrics, clothing items, hair accessories, and more. For more information please check out their Facebook or call by phone.",The African Super Market offers affordable goods traditionally used by peoples of the Diaspora.,Grocery & Convenience Stores,"English, Somali","44 Washington Ave Portland, Maine","Portland, Maine",NA,2074094085,https://www.facebook.com/AfricanSuperMarket,,Black Owned Maine
Afro Hip Hop Dance,https://www.blackownedmaine.com/bom-listing/afro-hip-hop-dance/,NA,"Dance to Afro Hip Hop at our Black-owned dance studio in Portland, Maine. Inclusive for all ages and levels. Join us for a groovy experience.","Afro Hip Hop Dance is a dance studio, it is also a dance class inclusive for all ages ,all levels,all dancers every Friday.","Afro Hip Hop Dance is a dance studio, it is also a dance class inclusive for all ages ,all levels,all dancers every Friday. It is owned by Ab Kyra Mukansabga Pourllefuun .",Art & Music,English,"1100 Brighton Av Portland , Maine","Portland, Maine",NA,2078158377,https://www.facebook.com/spycofollexDbombe,https://instagram.com/a2hid,Black Owned Maine
Afro Mexico Today,https://www.blackownedmaine.com/bom-listing/afro-mexico-today/,NA,"Listen and stream Black-owned cultural ambassador, Afro-Mexican musician in Maine blending blues, rock, and Latin rhythms for a soulful vibe.","Cultural ambassador, afroMexican  musician that mixes blue’s ,rock and latin music into a unique style .","Cultural ambassador, afroMexican  musician that mixes blue's ,rock and latin music into a unique style .",Art & Music,"English, Spanish",,,alejandro_blues@yahoo.com,NA,https://www.facebook.com/groups/afro.mexico.today/,https://www.instagram.com/alejandro_graciano_music/,Black Owned Maine
Ahmed Abukar,https://www.blackownedmaine.com/bom-listing/ahmed-abukar/,NA,"Black farmer participant engages in Fresh Start Farms, selling locally grown produce at Kennedy Park Farmers Markets, Lewiston, Maine.",Participates in the Fresh Start Farms and Kennedy Park Farmers Markets. For more information about the times and locations of his farm stand please visit the Fresh Start Farms website (https://www.cultivatingcommunity.org/programs/fresh-start-farms/).  The Fresh Start Farms program is one of several endeavors initiated by Cultivating Community. For more information on the larger organization visit their website at https://www.cultivatingcommunity.org/.,Participates in the Fresh Start Farms and Kennedy Park Farmers Market,Farming,NA,"Lisbon, Maine","Lisbon, Maine",info@cultivatingcommunity.org,NA,,,Black Owned Maine
